,name,address
0,방화DT  ,서울특별시 강서구 방화대로 375 (방화동)
1,종암DT  ,서울특별시 성북구 종암로 17 (종암동)
2,신정DT  ,서울특별시 양천구 신월로 341 (신정동)
3,신림DT  ,서울특별시 관악구 남부순환로 1419 (신림동)
4,공릉DT  ,서울특별시 노원구 동일로 1015 (공릉동)
5,영등포신길DT  ,서울특별시 영등포구 신길로 137 (신길동)
6,연희DT  ,서울특별시 서대문구 연희로 144 (연희동)
7,구의DT  ,서울특별시 광진구 광나루로 519 (구의동)
8,신월IC DT  ,서울특별시 양천구 남부순환로 430 (신월동)
9,화곡DT  ,서울특별시 강서구 등촌로 57 (화곡동)
10,낙성대DT  ,서울특별시 관악구 남부순환로 1948 (봉천동)
11,송파방이DT  ,서울특별시 송파구 오금로 241 (방이동)
