,name,address
86,서판교  ,경기도 성남시 분당구 운중로 132 (운중동)
87,평촌로데오  ,경기도 안양시 동안구 관평로 182 (관양동)
88,신영통DT  ,경기도 화성시 영통로 43 (반월동)
89,성남이마트  ,경기도 성남시 수정구 수정로 201 (태평1동) 신세계쉐덴
90,철산로데오  ,경기도 광명시 디지털로 17 (철산1동) 가림빌딩
91,수원망포DT  ,경기도 수원시 영통구 덕영대로 1467
92,용인동백DT  ,경기도 용인시 기흥구 어정로 102 (상하동)
93,용인시청DT  ,경기도 용인시 처인구 중부대로 1130
94,동두천DT  ,경기도 동두천시 평화로 2254 (지행동)
95,행신역  ,경기도 고양시 덕양구 충장로 14 (행신동)
96,의정부녹양DT  ,경기도 의정부시 비우로 119 (가능동)
97,부천중동DT  ,경기도 부천시 부흥로 193 (중동)
98,판교알파돔시티  ,경기도 성남시 분당구 대왕판교로606번길 10 (백현동 알파돔시티)
99,경기광주  ,경기도 광주시 광주대로 35 (경안동)
100,고양DT  ,경기도 고양시 덕양구 호국로 1775 (고양동)
101,중동이마트  ,경기도 부천시 원미구 석천로 188 (중동)
102,평택험프리 트룹몰  ,경기도 평택시 팽성대교길 153 (팽성읍)
103,동탄영천  ,경기도 화성시 동탄순환대로 692 (영천동)
104,평촌호계  ,경기도 안양시 동안구 평촌대로 123 (호계동)
105,의정부회룡역DT  ,경기도 의정부시 평화로 341 (호원동)
106,화성병점DT  ,경기도 화성시 효행로 1013 (진안동)
107,광명사거리역  ,경기도 광명시 광명로 907 (광명동)
108,안양호계DT  ,경기도 안양시 동안구 엘에스로 23-8 (호계동)
109,정자동  ,경기도 성남시 분당구 정자로 82 (정자동)
110,스타필드하남2FR  ,경기도 하남시 미사대로 750 (신장동)
111,신세계하남2F  ,경기도 하남시 미사대로 750 (신장동)
112,스타필드하남1F(티바나)  ,경기도 하남시 미사대로 750 (신장동)
113,백석중앙로  ,경기도 고양시 일산동구 강송로 33 (백석동)
114,뉴코아부천4층  ,경기도 부천시 송내대로 239 (상동)
115,고양삼송  ,경기도 고양시 덕양구 신원동 628-
116,별내불암로  ,경기도 남양주시 별내5로5번길 15 (별내동)
117,동탄이마트  ,"경기도 화성시 동탄중앙로 376, 동탄이마트 1층 (석우동)"
118,수원영통  ,"경기도 수원시 영통구 봉영로 1617, 훼미리타워 1층 (영통동)"
119,일산동구청  ,"경기도 고양시 일산동구 정발산로 이스턴시티 38번지 116,117호"
120,동탄광장  ,"경기도 화성시 동탄지성로 17, 풍성 위버폴리스  (반송동)"
121,신세계의정부6F  ,"경기도 의정부시 평화로 525, 신세계백화점 6층 (의정부동)"
122,판교HIPEX  ,"경기도 성남시 분당구 판교역로 230, 판교 삼환 HIPEX (삼평동)"
123,파주P.아울렛  ,경기도 파주시 탄현면 필승로 200
124,오리역삼거리  ,경기도 성남시 분당구 성남대로 45 (구미동)
125,마두역  ,경기도 고양시 일산동구 중앙로 1191 (장항동)
126,시화로데오  ,경기도 시흥시 중심상가2길 20-5 (정왕동)
127,김포장기  ,"경기도 김포시 김포한강4로 117, 홍우프라자 102~105호 (장기동)"
128,수원성균관대  ,"경기도 수원시 장안구 서부로 2131, 1층 4,5,6호 2층1,2호 (율전동)"
129,안산고잔  ,경기도 안산시 단원구 당곡로 12 (고잔동)
130,산본동  ,"경기도 군포시 산본로 398, 태주빌딩 2층"
131,부천상동  ,경기도 부천시 원미구 상동로 87 (상동)
132,판교H스퀘어  ,"경기도 성남시 분당구 판교역로 231, 에이치스퀘어 (삼평동)"
133,분당이마트  ,경기도 성남시 분당구 불정로 134 (정자동)
134,화정역  ,경기도 고양시 덕양구 화신로260번길 57 (화정동)
135,부천  ,"경기도 부천시 원미구 부천로 7, 1,2층 (심곡동)"
136,아주대  ,경기도 수원시 팔달구 월드컵로 205 (우만동)
137,정자아데나  ,경기도 성남시 분당구 성남대로 275 (정자동)
138,신세계의정부2F  ,"경기도 의정부시 평화로 525, 신세계백화점 2층 (의정부동)"
139,강남대  ,"경기도 용인시 기흥구 강남로 3, 강남&플러스 1층(구갈동)"
140,수내역  ,"경기도 성남시 분당구 백현로101번길 30, 1-2층 (수내동)"
141,분당정자  ,"경기도 성남시 분당구 성남대로 393, 두산위브파빌리온 1층 (정자동)"
142,수지풍덕천  ,"경기도 용인시 수지구 수지로296번길 51-11, 비즈마루빌딩 1층 101호 (풍덕천동)"
143,구성트레이더스  ,경기도 용인시 기흥구 용구대로 2457 (보정동)
144,수지이마트  ,경기도 용인시 수지구 수지로 203 (신봉동)
145,오리역  ,"경기도 성남시 분당구 성남대로 32, 1층 (구미동)"
146,웨스턴돔B  ,경기도 고양시 일산동구 정발산로 24 (장항동)
147,서현역  ,"경기도 성남시 분당구 서현로210번길 20, 1층 (서현동)"
148,이천터미널  ,경기도 이천시 중리천로 84 (중리동)
149,수원시청  ,경기도 수원시 권선구 효원로 274 (권선동)
150,안산트레이더스  ,경기도 안산시 단원구 중앙대로 397 (신길동)
151,서현N타운  ,경기도 성남시 분당구 황새울로335번길 5 (서현동)
152,수원인계  ,경기도 수원시 팔달구 권광로 199 (인계동)
153,인덕원역  ,"경기도 안양시 동안구 흥안대로 519, 아이퍼스트타워 1~2층 (관양동)"
154,용인보정  ,"경기도 용인시 기흥구 죽전로 20, 죽전누리에뜰상가 (보정동)"
155,분당서울대병원1  ,"경기도 성남시 분당구 구미로173번길 82, 분당서울대학교병원 신관 1층 (구미동)"
156,분당서울대병원4  ,"경기도 성남시 분당구 구미로173번길 82, 분당서울대학교병원 신관 4층 (구미동)"
157,범계로데오  ,경기도 안양시 동안구 평촌대로 223 (호계동)
158,산본역  ,"경기도 군포시 번영로 497, 금화프라자 1층 (산본동)"
159,광명철산  ,경기도 광명시 오리로 865 (철산동)
160,정자  ,"경기도 성남시 분당구 정자일로 166, SPG센터 (정자동)"
161,송내역  ,"경기도 부천시 원미구 부일로 204, 루치올라빌딩 (상동)"
162,야탑글라스  ,경기도 성남시 분당구 성남대로916번길 11 (야탑동)
163,서현미래에셋  ,"경기도 성남시 분당구 황새울로359번길 11, 미래에셋빌딩 1층 (서현동)"
